Attendance,Hours_Studied,Previous_Scores,Tutoring_Sessions,Physical_Activity,Sleep_Hours,Parental_Involvement_Low,Exam_Score
73,20,92,2,3,9,0,69
77,8,87,0,2,6,0,63
72,20,66,3,3,9,0,67
71,20,62,2,5,7,1,66
99,35,85,2,2,7,0,79
66,19,74,1,3,8,0,64
89,22,80,1,3,6,0,73
60,20,82,2,4,7,1,63
84,13,78,1,2,5,0,65
97,27,81,0,5,8,1,73
72,25,94,2,4,8,0,70
67,25,93,2,3,9,0,68
86,15,57,1,3,7,0,65
89,28,79,0,1,9,1,71
88,12,72,2,2,6,1,64
73,24,64,4,3,8,0,68
70,33,82,1,4,6,0,69
98,14,76,0,4,7,0,69
97,17,89,1,4,8,0,69
78,21,55,1,2,10,0,67
94,17,65,4,6,8,1,68
78,11,51,2,3,8,0,64
77,20,87,0,4,6,0,66
66,14,96,3,3,7,0,63
77,23,79,0,2,7,0,66
81,14,81,1,3,9,0,66
61,29,52,3,3,7,0,67
78,15,75,1,1,9,0,65
91,18,76,1,3,5,1,68
87,25,52,1,2,9,0,68
85,13,89,0,1,6,0,65
96,21,64,2,0,8,0,71
61,28,86,1,3,6,0,65
82,10,70,3,1,8,0,64
91,21,100,0,2,6,0,72
82,22,61,2,2,9,0,65
73,25,53,0,5,8,0,66
65,13,99,0,4,6,1,61
96,12,62,2,3,8,1,68
79,23,82,3,3,8,0,69
95,22,69,1,3,6,0,72
83,22,82,2,3,5,0,71
87,22,80,2,3,5,0,70
92,16,85,1,2,5,0,68
86,21,51,2,2,5,1,67
76,22,92,1,4,8,0,68
81,16,74,3,2,8,0,68
92,31,76,2,4,4,0,72
75,23,71,0,2,6,1,65
76,13,99,2,4,5,0,66
64,24,90,0,3,8,0,65
97,14,66,2,3,6,0,67
64,25,89,2,4,5,0,66
86,27,72,1,4,7,0,69
77,15,94,0,3,8,0,66
76,26,52,4,3,6,0,69
87,22,68,0,2,7,0,67
63,25,71,1,3,6,0,66
84,31,87,2,3,9,0,71
91,19,59,5,4,6,0,70
93,15,64,2,4,6,0,71
67,15,86,1,3,7,0,66
96,15,54,3,2,7,0,67
86,20,60,1,4,8,0,66
95,22,88,0,2,9,0,72
79,22,94,1,3,9,0,68
82,25,86,3,3,6,0,69
97,20,76,2,3,7,0,71
96,29,55,0,2,9,0,70
78,18,91,2,4,9,0,67
71,36,56,2,2,6,0,69
76,24,69,2,1,8,1,65
76,15,53,1,4,8,0,65
71,14,85,2,4,8,0,64
71,23,75,1,2,9,1,63
94,19,95,3,2,5,1,69
63,24,57,1,5,6,0,64
87,23,91,0,3,8,0,72
67,20,76,0,4,7,1,63
74,15,68,3,3,4,1,64
62,11,82,3,4,5,0,64
71,17,90,5,1,8,0,67
91,25,72,2,0,8,0,71
95,21,62,1,4,5,0,70
69,13,96,0,4,9,0,61
79,21,66,2,4,7,0,67
79,22,100,4,3,5,0,72
95,15,88,1,5,6,1,66
91,21,84,1,2,5,0,70
81,20,51,3,4,6,0,67
87,13,72,2,3,4,0,67
94,22,75,2,2,7,1,71
60,23,69,1,4,8,0,66
76,26,57,1,4,5,0,68
96,26,68,3,3,7,0,74
90,12,54,1,3,6,0,64
82,14,65,1,3,8,0,65
81,23,54,1,3,4,1,66
74,23,88,0,3,8,0,66
81,23,84,2,5,4,0,68
86,43,97,2,1,7,0,78
77,23,69,1,2,6,0,67
89,27,89,3,3,6,0,74
94,26,79,1,2,5,0,74
66,24,82,1,2,9,0,62
78,18,77,2,4,5,0,66
76,25,89,3,3,5,0,69
87,15,52,2,3,10,0,68
70,19,54,0,2,7,0,89
86,17,55,2,4,5,0,66
95,20,64,2,3,7,1,68
77,34,80,0,3,7,0,69
96,9,82,0,4,4,0,67
100,24,86,2,5,6,0,75
64,10,64,0,4,7,0,60
69,17,83,2,4,9,0,66
98,27,56,1,3,7,1,73
98,20,50,1,2,7,0,68
64,14,85,0,3,6,0,62
61,16,86,2,2,9,0,62
66,24,81,1,4,8,0,65
100,16,63,2,3,8,0,69
67,21,96,3,2,7,0,64
80,20,94,0,4,5,0,67
94,16,76,0,2,9,0,70
61,33,99,2,3,7,0,70
84,24,65,3,3,7,0,69
71,8,75,0,3,8,0,61
94,21,96,0,2,7,0,69
71,16,73,1,0,5,0,63
87,25,74,0,4,7,0,67
87,15,54,1,6,4,1,65
69,19,61,3,4,7,0,66
61,23,58,4,2,9,1,63
76,25,78,2,3,4,0,68
72,13,66,0,4,7,0,65
92,18,54,1,3,8,1,67
92,17,75,2,3,8,1,68
78,16,83,0,3,6,0,64
84,31,87,0,3,5,0,71
84,22,92,0,5,6,0,69
93,12,74,1,3,9,0,67
77,26,70,2,3,4,1,65
71,33,84,1,2,5,1,68
71,26,51,1,3,6,0,67
81,11,82,3,4,6,0,67
78,17,70,2,3,7,0,66
78,28,73,2,4,9,0,70
64,16,65,3,4,5,0,65
89,23,56,4,4,7,1,69
69,25,70,1,4,7,0,65
68,14,65,1,3,6,0,63
77,20,98,2,2,5,0,67
69,1,97,1,3,6,0,61
83,14,82,0,2,6,0,65
75,18,95,1,2,8,1,66
78,13,88,0,3,8,0,66
81,30,67,1,1,5,0,69
68,11,80,2,3,6,0,63
66,17,61,1,6,6,1,65
95,21,84,0,4,10,1,67
77,29,52,2,3,7,0,69
76,11,92,4,2,5,1,65
61,27,79,1,3,6,0,65
80,20,53,0,2,6,0,65
82,14,94,2,5,8,0,67
82,23,94,1,2,8,1,66
88,21,93,4,3,7,0,72
67,16,89,3,3,7,0,66
70,20,84,2,4,7,0,65
92,18,70,1,3,7,0,69
98,21,57,2,2,4,0,68
65,24,64,1,1,7,0,64
80,30,67,3,4,6,1,69
69,13,68,0,1,5,0,59
62,33,78,0,3,10,0,68
73,8,60,0,3,7,0,60
66,19,59,1,3,7,0,62
88,24,86,0,3,6,1,67
81,22,50,4,5,8,1,68
66,16,57,3,3,5,0,64
60,19,72,3,3,7,0,65
92,17,57,2,2,6,1,65
67,16,98,0,3,8,0,63
84,25,84,2,3,6,0,70
73,22,72,3,3,9,1,66
83,16,56,4,3,7,0,68
73,25,69,3,3,8,1,66
63,22,83,3,1,8,1,63
69,25,98,1,3,9,0,66
68,24,74,1,3,6,0,65
77,15,85,1,2,8,0,66
86,17,60,2,3,4,0,67
71,24,81,0,3,7,0,66
60,24,62,4,3,6,1,63
81,20,60,3,4,5,0,66
84,21,75,1,3,6,0,67
99,28,61,1,3,6,0,71
84,16,86,1,2,7,0,67
79,23,97,1,4,6,0,69
83,19,70,2,4,7,0,67
97,19,66,2,2,6,0,72
93,27,59,2,4,6,0,70
73,25,70,0,4,7,0,67
69,25,78,0,3,7,1,64
71,28,69,1,1,8,0,67
80,20,81,3,4,8,1,69
90,24,83,0,3,7,1,68
80,18,55,2,3,8,0,63
63,22,85,4,3,7,0,68
89,19,95,0,3,7,0,70
92,21,51,0,2,8,0,66
72,24,78,0,6,6,0,68
87,15,80,0,3,4,0,67
77,33,85,0,5,5,1,69
96,14,69,0,3,9,0,66
94,13,91,3,3,7,0,68
81,27,77,2,2,7,0,69
88,25,70,1,3,7,0,70
95,24,86,1,3,8,0,74
80,24,96,0,0,7,0,70
73,20,91,1,2,7,0,66
90,15,97,1,3,8,0,69
69,20,63,0,3,6,0,64
76,16,56,1,1,8,1,62
95,26,77,0,3,7,1,70
89,19,52,2,4,7,0,68
76,15,84,0,3,6,0,65
69,18,62,3,3,7,0,65
74,22,73,3,4,6,0,71
71,17,83,2,5,9,0,66
67,15,74,0,3,4,0,61
90,21,62,2,5,8,1,67
70,21,94,0,2,4,1,65
78,17,88,0,3,8,0,65
75,17,80,1,5,6,0,65
99,21,85,4,4,8,0,73
76,11,71,1,2,7,0,62
63,12,69,0,2,5,0,60
64,16,58,1,3,9,1,61
84,19,90,2,3,8,1,67
84,22,69,3,4,8,0,70
77,29,85,1,1,6,1,69
77,25,65,0,5,8,0,66
62,19,90,2,3,5,0,64
81,20,55,1,2,4,0,68
80,14,81,1,4,5,0,67
66,20,90,0,1,6,0,64
64,18,83,2,2,6,0,65
65,22,85,2,3,6,1,66
64,15,76,2,4,6,0,63
84,23,78,2,2,6,0,68
68,29,53,1,4,4,0,66
70,19,63,3,5,7,0,63
67,22,86,1,3,7,1,63
98,24,97,1,4,6,0,74
94,18,77,1,2,9,0,70
69,21,86,2,3,7,0,68
73,20,84,0,4,7,0,66
68,21,100,0,4,8,0,63
80,15,90,4,3,5,1,67
61,20,81,1,3,7,0,62
87,23,56,1,3,8,0,71
81,29,68,2,4,7,0,72
96,26,63,1,2,5,0,72
67,33,93,0,3,6,0,68
92,15,72,1,5,7,0,66
92,25,77,0,3,4,0,70
65,21,98,2,4,5,0,66
76,33,92,1,3,10,0,72
67,15,89,0,4,8,0,64
70,15,57,1,3,9,0,63
71,16,51,0,2,8,0,61
82,7,56,0,2,8,0,62
76,17,87,1,4,7,0,68
98,15,71,1,3,8,1,68
65,21,56,1,5,9,1,63
99,22,87,1,4,8,0,70
69,31,60,1,3,7,0,68
91,26,79,1,5,7,0,72
74,17,87,4,3,8,0,67
66,15,80,1,1,6,1,61
94,23,100,0,3,8,1,69
72,12,72,2,2,6,0,61
86,31,66,3,3,6,0,75
83,27,60,0,2,5,0,68
79,17,75,1,4,6,0,65
80,10,93,4,3,6,0,67
89,28,97,3,6,10,0,75
64,19,99,1,3,6,1,64
87,27,77,1,4,8,0,70
96,10,80,0,4,6,0,67
62,16,79,2,3,7,0,63
66,20,73,1,4,7,0,65
89,20,58,1,3,4,0,67
77,17,53,2,3,5,1,86
76,24,72,3,3,6,1,67
65,14,59,1,4,5,0,63
80,19,94,0,3,7,0,66
65,21,88,2,1,7,0,65
79,23,81,1,3,5,0,67
91,24,52,0,4,7,0,69
70,13,81,2,2,6,0,66
79,11,81,1,2,7,0,64
100,28,72,1,2,6,0,73
87,22,83,1,1,8,1,66
94,16,93,1,4,9,0,68
77,29,88,0,4,8,0,70
91,21,74,2,2,9,0,69
62,27,63,4,4,5,0,67
65,20,74,0,3,6,0,62
68,32,97,1,2,8,0,68
76,31,91,1,4,9,0,72
94,19,51,3,5,8,1,69
74,26,89,3,2,5,1,66
86,24,59,1,3,6,0,70
88,28,79,0,3,8,0,71
83,14,90,0,3,7,0,65
74,24,78,3,3,6,0,70
83,26,70,2,4,7,1,65
74,9,66,1,3,7,0,62
63,13,65,2,2,5,0,62
100,8,92,1,3,8,0,70
65,18,91,5,3,6,0,66
63,24,91,4,4,7,0,67
95,29,64,1,3,9,0,72
72,20,90,0,3,7,0,66
86,30,52,2,2,8,0,68
73,12,60,1,4,5,0,62
76,10,76,2,3,8,1,64
70,20,70,0,5,8,0,65
74,22,56,4,3,6,0,66
76,20,52,2,3,7,0,64
89,8,81,4,3,7,0,67
80,19,66,4,4,7,0,69
98,12,51,0,5,8,0,68
62,24,72,2,4,6,0,64
80,22,65,2,2,7,0,68
83,14,79,1,3,9,1,64
97,17,96,0,1,9,0,71
62,14,65,3,2,8,0,61
83,20,100,4,3,7,1,68
94,26,54,2,5,10,0,73
70,14,54,3,1,9,0,64
95,23,86,3,4,7,0,72
61,17,87,5,3,7,0,65
89,15,71,1,4,6,0,68
97,19,64,2,3,8,0,71
86,14,90,3,3,8,0,65
78,17,98,2,2,8,0,66
62,13,99,4,1,7,1,63
97,32,82,1,3,5,0,74
79,20,87,2,4,7,0,66
61,16,91,2,3,8,0,63
88,21,90,2,4,6,0,72
79,19,100,1,2,7,0,69
65,19,91,1,4,9,0,67
69,24,83,3,3,5,1,66
63,25,69,0,5,7,0,64
83,17,80,4,2,9,1,67
85,17,94,4,3,7,0,69
80,18,65,2,2,6,0,65
93,6,52,0,2,7,0,64
94,11,66,1,4,8,0,65
85,28,98,2,1,7,0,72
61,30,90,2,2,8,1,66
88,19,59,2,3,7,0,66
77,23,51,1,3,7,0,67
83,22,83,1,3,8,0,69
86,38,79,3,3,7,1,73
74,27,54,3,3,6,0,69
97,19,98,1,4,8,0,68
65,14,81,1,3,7,1,61
87,10,83,0,4,6,0,63
60,21,93,0,2,8,0,63
97,15,67,1,2,9,1,68
65,11,78,2,3,7,0,63
64,16,79,3,4,7,0,66
73,14,98,2,4,5,0,65
75,30,57,0,1,7,0,68
69,25,88,0,4,7,0,66
83,20,79,2,5,7,1,66
78,29,92,2,4,6,0,70
61,20,92,0,2,8,1,61
73,15,51,2,3,7,0,61
92,29,63,1,4,10,0,71
88,23,59,1,2,7,1,67
89,14,73,2,3,4,0,70
88,19,95,2,4,5,0,69
72,15,50,2,4,8,0,65
64,12,74,0,2,6,0,61
71,26,94,3,4,6,0,68
93,31,96,2,2,5,0,74
99,12,83,1,3,6,0,67
80,23,91,5,1,7,0,70
60,16,66,1,2,8,1,59
66,17,64,0,2,5,0,64
73,16,52,2,4,8,0,66
83,15,75,1,3,5,1,63
63,20,73,0,3,8,1,61
98,15,69,2,4,8,1,68
75,22,56,3,3,6,0,65
97,20,62,1,4,5,0,69
91,19,60,2,4,8,0,68
90,15,97,2,2,6,0,69
84,17,98,1,2,7,0,67
85,25,50,1,1,8,0,70
86,23,59,1,3,8,0,68
85,14,94,0,4,6,0,67
82,21,52,4,3,7,0,67
99,25,97,0,3,6,0,75
89,10,69,3,4,8,1,63
91,23,77,1,5,9,1,70
95,16,88,2,4,6,0,70
69,23,62,1,4,7,0,64
63,15,55,0,3,8,0,59
79,9,90,1,3,7,0,63
81,10,99,2,4,8,0,67
93,20,83,0,2,7,1,68
78,22,91,0,3,5,0,68
83,15,97,2,2,7,0,97
81,24,61,1,4,9,0,66
62,10,68,3,3,7,0,61
85,20,61,2,3,9,0,70
93,13,53,1,1,4,1,65
66,16,87,3,2,8,1,64
84,20,57,2,4,6,0,69
84,15,55,1,2,6,0,64
67,18,68,2,2,9,1,61
65,26,53,3,2,7,1,64
99,17,59,0,3,6,0,68
76,25,53,1,3,8,0,67
69,13,94,3,3,4,0,62
67,23,89,2,2,9,0,66
87,29,93,1,4,10,0,72
84,5,93,4,3,8,0,68
86,15,97,4,3,8,0,71
64,23,59,3,2,7,0,65
96,19,95,2,3,5,0,68
76,22,76,2,5,9,0,65
73,16,58,1,4,8,0,64
78,21,83,2,4,8,0,65
76,19,66,0,4,8,0,65
95,27,52,3,3,7,0,73
97,22,54,1,3,6,0,72
72,22,71,1,1,10,1,64
95,18,91,0,4,7,0,69
91,17,66,1,3,6,0,69
97,17,88,0,2,9,0,70
70,22,53,1,3,7,1,83
83,17,70,3,5,7,0,68
71,22,56,1,3,9,1,84
93,32,93,1,3,8,0,75
60,25,98,1,5,8,1,67
83,18,66,0,4,5,0,69
74,27,99,3,4,8,0,71
73,18,88,1,5,5,0,66
86,8,50,1,2,6,0,65
94,14,74,1,5,7,0,70
84,9,92,1,4,7,0,66
94,18,77,3,4,8,0,74
71,20,77,0,4,8,0,66
81,30,72,0,2,8,0,68
78,22,70,2,1,5,0,68
60,19,51,0,3,10,0,62
82,25,81,2,2,7,0,71
86,7,88,2,2,9,0,63
84,21,90,2,3,4,0,69
89,25,81,3,0,7,0,71
83,11,67,1,2,5,0,66
63,27,51,0,2,6,0,64
65,22,95,3,2,7,0,65
84,18,71,4,2,6,0,69
71,24,80,2,3,9,0,66
63,34,60,1,4,10,0,67
77,21,57,4,5,6,0,65
82,21,54,3,2,6,1,65
73,17,90,1,4,5,0,67
89,15,82,1,3,9,1,66
86,25,81,1,1,7,0,69
73,15,96,1,2,7,0,64
90,20,58,1,4,7,0,70
86,17,59,3,3,7,0,68
85,23,59,1,1,6,0,68
82,22,71,1,3,7,0,69
60,26,94,3,2,7,0,68
88,17,94,5,2,8,0,70
75,18,80,2,3,5,0,67
98,14,83,3,3,7,0,72
93,17,95,1,4,6,0,69
84,22,81,1,3,7,0,69
70,25,61,3,4,8,1,64
68,14,85,2,3,6,1,63
74,25,88,3,3,9,0,70
79,28,82,0,3,4,0,70
72,22,64,1,2,9,0,66
81,31,70,1,4,9,0,70
67,15,74,0,2,6,0,66
99,13,57,1,5,6,0,68
64,9,73,1,4,5,0,61
97,29,58,1,4,8,0,72
97,24,75,1,2,7,0,69
81,20,53,0,4,6,0,63
89,22,97,2,5,5,0,72
77,13,62,1,4,10,0,65
85,35,73,1,5,6,0,74
74,21,52,1,4,7,0,62
72,21,60,0,4,7,0,65
83,24,85,1,4,6,1,68
80,23,56,3,2,6,0,66
83,21,81,3,4,6,0,71
71,15,50,1,2,8,0,62
75,23,73,1,2,6,1,65
63,31,86,0,3,9,0,68
62,28,96,4,3,6,0,70
70,30,75,1,2,8,1,67
63,17,92,2,4,4,0,63
64,14,90,0,2,6,0,63
93,19,65,0,3,6,0,69
62,20,94,3,3,5,1,66
86,27,82,2,3,7,0,70
71,10,55,2,3,7,0,63
95,29,97,0,4,4,1,72
79,19,59,1,3,10,0,65
72,17,74,2,4,7,0,67
81,14,73,1,3,7,0,63
75,10,81,3,5,9,0,65
83,25,83,2,1,8,0,67
65,20,62,0,0,7,0,80
100,12,68,2,3,4,0,68
77,12,57,2,2,8,0,63
74,18,56,1,3,6,0,64
88,30,91,3,3,9,0,73
75,18,88,2,1,6,0,66
93,11,72,2,3,6,0,66
78,19,55,0,4,5,0,66
89,18,72,4,2,5,0,69
64,4,65,1,4,7,0,59
94,20,89,0,1,7,0,68
89,19,55,1,3,6,0,67
68,24,73,1,4,10,0,64
66,31,80,0,4,8,1,65
73,27,99,1,4,7,0,68
99,18,54,0,3,4,0,70
70,13,56,2,0,8,0,62
78,35,99,1,2,10,0,72
61,20,70,1,4,7,0,62
76,20,87,1,4,6,0,68
83,20,89,3,4,7,0,69
98,21,66,3,5,5,0,73
81,19,61,3,5,8,0,69
93,17,64,1,3,9,0,67
82,17,88,2,3,6,0,65
62,20,92,2,3,6,1,63
73,17,85,2,2,7,0,66
83,16,72,1,2,6,0,66
98,21,63,0,2,5,0,70
94,18,71,2,3,6,0,69
69,29,96,1,4,6,0,70
69,4,93,2,3,9,0,58
68,27,66,3,3,9,0,67
97,27,66,1,3,9,0,73
94,8,89,0,2,8,0,66
91,18,71,0,3,7,0,70
76,18,79,1,2,6,0,67
80,12,71,1,3,9,1,60
79,15,62,1,3,8,0,65
70,13,59,0,2,5,0,63
80,31,57,1,3,6,0,72
61,26,51,0,5,5,1,62
65,28,64,6,3,4,0,70
95,24,59,2,1,8,0,70
90,13,63,0,4,5,0,64
77,17,54,3,4,6,0,64
81,23,67,0,5,7,0,67
75,13,76,1,1,7,0,64
90,24,97,1,4,6,0,72
91,19,67,0,3,9,0,66
91,18,52,2,4,5,0,66
89,24,68,0,2,5,0,71
68,23,91,5,5,8,1,66
74,18,67,2,2,6,0,64
79,27,65,0,2,6,0,66
73,14,96,1,3,5,0,62
90,24,65,4,4,8,0,70
73,24,99,3,3,7,0,69
66,18,92,2,4,7,0,65
76,22,84,2,3,6,0,70
99,12,80,0,3,6,0,70
69,26,61,1,2,7,0,67
84,19,87,2,3,8,0,69
77,17,67,0,5,9,1,62
63,26,74,1,4,9,0,67
80,16,55,0,6,8,0,65
88,12,65,0,4,8,0,65
81,11,76,1,3,5,0,65
95,24,73,3,2,6,0,69
72,12,67,4,4,8,0,63
63,31,74,3,2,7,1,66
97,8,87,0,2,8,0,67
75,30,73,1,3,8,0,69
83,21,75,1,2,8,0,67
92,19,85,1,4,5,0,70
73,17,92,2,2,7,0,67
89,22,76,2,4,6,0,70
65,20,97,0,3,6,0,65
72,27,68,0,3,4,0,63
66,21,63,0,3,7,0,64
92,21,85,1,3,4,0,69
69,18,59,1,4,8,1,60
89,20,95,3,3,9,1,69
98,22,69,4,2,8,0,72
81,10,85,1,2,7,0,63
82,12,79,0,2,9,1,63
78,24,53,0,4,7,0,66
73,21,85,6,5,6,0,70
79,19,90,1,4,7,0,68
84,20,99,2,3,10,0,69
99,22,71,0,4,5,0,72
98,17,75,1,3,5,1,67
94,15,94,1,4,8,1,68
96,21,63,1,2,7,0,70
79,14,59,5,3,6,0,68
86,22,57,2,3,5,0,69
96,10,99,1,5,4,0,68
76,26,64,0,5,5,0,66
98,23,88,1,4,9,0,72
77,22,72,2,3,7,0,67
84,26,62,3,2,4,1,70
88,30,96,1,3,9,0,73
98,26,73,1,6,9,0,73
70,9,78,1,2,9,0,60
90,12,61,2,3,6,0,67
81,16,66,3,4,7,0,69
71,20,87,1,5,7,0,65
91,23,67,2,4,9,1,70
82,16,75,3,3,6,0,68
86,21,56,1,2,6,0,66
73,15,93,1,4,8,1,65
79,16,87,1,2,9,1,64
85,12,88,1,0,7,0,67
76,14,59,3,5,8,0,65
68,12,75,1,4,7,0,64
98,14,51,0,1,7,0,67
80,26,66,2,4,6,0,70
89,14,67,3,3,5,0,63
76,36,96,1,2,6,0,71
74,23,100,2,3,6,0,68
76,21,81,0,2,7,0,67
76,15,76,1,2,9,0,67
82,24,72,0,2,7,1,68
82,17,51,1,3,6,0,66
80,21,90,0,4,8,0,68
65,35,84,0,2,7,0,70
80,19,82,5,3,8,1,67
67,27,90,2,3,6,1,67
65,16,96,2,2,9,1,62
97,20,69,0,3,9,0,67
84,31,71,4,4,7,0,70
86,16,99,4,4,8,0,72
76,31,83,2,3,9,0,70
96,24,93,2,2,6,1,94
86,17,61,2,3,7,0,66
91,24,66,2,3,7,1,69
75,26,70,0,2,5,0,68
98,24,66,2,1,8,0,71
93,11,94,4,4,9,0,69
94,16,76,2,3,7,0,67
67,19,98,2,2,8,1,64
71,20,66,1,5,9,0,63
71,24,52,2,3,6,0,66
71,21,57,2,1,8,0,66
94,12,61,3,4,6,1,69
61,22,82,4,4,6,1,64
63,24,59,1,3,8,0,62
71,23,69,3,5,7,0,66
68,26,90,4,3,8,0,70
69,25,56,2,4,7,0,67
92,23,54,0,1,8,1,68
83,20,77,0,3,9,0,67
60,10,85,0,4,9,0,62
77,23,96,1,1,8,1,67
76,21,83,0,5,8,0,68
65,22,97,2,4,7,1,64
87,12,62,2,4,7,0,64
88,14,67,2,3,8,0,66
89,26,92,2,2,7,0,72
89,20,91,2,3,8,0,72
60,24,83,2,3,9,0,66
98,20,75,4,1,7,1,72
93,20,51,1,3,4,0,69
96,26,64,2,3,10,0,72
61,17,58,1,4,6,1,60
97,21,53,0,2,7,0,69
92,17,89,0,3,8,0,68
93,17,57,3,2,9,1,69
64,18,68,1,5,10,0,62
90,21,99,2,2,6,0,71
98,17,70,1,2,9,0,70
87,28,57,2,4,7,1,68
83,15,84,1,2,10,0,68
98,19,90,1,2,9,0,70
78,17,64,0,3,7,0,65
84,29,90,0,3,6,0,73
79,21,64,0,4,4,0,66
97,26,85,2,3,8,0,71
63,11,56,2,3,9,0,62
80,22,71,2,3,8,0,68
87,25,76,1,4,4,0,70
92,20,86,0,2,5,0,68
83,26,83,2,2,8,0,71
96,17,93,2,4,10,0,70
98,28,59,1,3,7,0,72
63,34,83,2,2,9,0,69
76,18,56,1,2,5,0,63
61,17,74,0,2,7,0,62
73,29,76,2,3,7,0,68
81,29,51,2,5,9,1,70
96,17,54,1,4,6,0,69
94,17,92,2,2,10,0,68
65,18,64,2,1,7,0,65
64,12,67,3,2,5,0,59
84,14,82,3,3,5,0,66
81,14,61,0,4,6,0,64
71,15,60,5,4,8,1,63
96,20,71,5,3,6,0,72
97,21,53,0,3,6,0,67
76,29,96,2,2,8,0,94
96,14,97,2,3,4,0,70
75,26,72,0,3,6,1,66
89,19,60,4,2,5,1,69
79,20,74,2,2,6,0,64
65,24,55,1,3,7,0,63
97,13,70,1,4,7,0,71
78,22,54,1,3,7,0,65
89,21,85,1,5,9,1,68
75,23,64,1,3,7,0,64
61,22,76,1,2,10,1,64
64,35,51,2,5,8,0,66
80,16,76,1,4,6,0,68
88,17,50,3,5,10,0,67
73,16,96,1,3,7,1,66
88,17,75,2,3,10,0,68
88,16,55,3,3,7,1,66
88,27,67,3,4,7,0,71
80,29,52,4,4,8,0,71
97,17,77,0,4,7,0,68
80,15,56,3,3,9,0,64
78,23,74,3,4,10,0,67
68,17,65,0,2,4,0,64
72,24,88,3,2,8,0,68
62,21,74,0,3,6,0,62
85,11,92,0,1,4,0,64
70,29,97,3,3,8,1,70
72,31,98,0,4,8,0,68
91,16,63,2,3,8,0,69
73,18,88,3,4,8,1,65
